my_index;date_taken;id;link_obj
2081;um 1900;http://www.bildindex.de/bilder/d/fm1515549;http://www.bildindex.de/document/obj20269564
2245;um 1920/1930?;http://www.bildindex.de/bilder/d/fm1522108;http://www.bildindex.de/document/obj20269690
2246;um 1930/1940?;http://www.bildindex.de/bilder/d/fm1522110;http://www.bildindex.de/document/obj20096452
2511;nach 1927;http://www.bildindex.de/bilder/d/fm15243;http://www.bildindex.de/document/obj20161823
2512;nach 1927;http://www.bildindex.de/bilder/d/fm15245;http://www.bildindex.de/document/obj20161823
2548;um 1900;http://www.bildindex.de/bilder/d/fm1527431;http://www.bildindex.de/document/obj20096452
2901;1890/1950?;http://www.bildindex.de/bilder/d/fm1541482;http://www.bildindex.de/document/obj20269564
2903;1908/1929;http://www.bildindex.de/bilder/d/fm1541484;http://www.bildindex.de/document/obj20269564
2904;1908/1929;http://www.bildindex.de/bilder/d/fm1541485;http://www.bildindex.de/document/obj20269564
2905;1908/1929;http://www.bildindex.de/bilder/d/fm1541486;http://www.bildindex.de/document/obj20269564
3571;vor 1939;http://www.bildindex.de/bilder/d/fm1606951;http://www.bildindex.de/document/obj20096452
3591;um 1910/1922?;http://www.bildindex.de/bilder/d/fm16587;http://www.bildindex.de/document/obj20269672
3592;um 1910/1922?;http://www.bildindex.de/bilder/d/fm16594;http://www.bildindex.de/document/obj20269725
3593;um 1910/1922?;http://www.bildindex.de/bilder/d/fm16595;http://www.bildindex.de/document/obj20269725
3594;um 1910/1922?;http://www.bildindex.de/bilder/d/fm16597;http://www.bildindex.de/document/obj20269725
3830;um 1927;http://www.bildindex.de/bilder/d/fm193412;http://www.bildindex.de/document/obj20161823
3882;um 1970/1974?;http://www.bildindex.de/bilder/d/fm193970;http://www.bildindex.de/document/obj20648611
3883;um 1970/1974?;http://www.bildindex.de/bilder/d/fm193974;http://www.bildindex.de/document/obj20648611
4081;1927/1929;http://www.bildindex.de/bilder/d/fm21190;http://www.bildindex.de/document/obj20269564
4086;1927/1929;http://www.bildindex.de/bilder/d/fm21211;http://www.bildindex.de/document/obj20161823
4087;1927/1929;http://www.bildindex.de/bilder/d/fm21212;http://www.bildindex.de/document/obj20161823
4088;1927/1929;http://www.bildindex.de/bilder/d/fm21224;http://www.bildindex.de/document/obj20161823
4091;;http://www.bildindex.de/bilder/d/fm212803;http://www.bildindex.de/document/obj20269564
4285;1978;http://www.bildindex.de/bilder/d/fm222685;http://www.bildindex.de/document/obj20161823
4299;;http://www.bildindex.de/bilder/d/fm226060;http://www.bildindex.de/document/obj20269564
4300;;http://www.bildindex.de/bilder/d/fm226063;http://www.bildindex.de/document/obj20269564
4401;2002;http://www.bildindex.de/bilder/d/fm3000043;http://www.bildindex.de/document/obj20161823
4402;2002;http://www.bildindex.de/bilder/d/fm3000044;http://www.bildindex.de/document/obj20163610
4403;2002;http://www.bildindex.de/bilder/d/fm3000045;http://www.bildindex.de/document/obj20163610
4404;2002;http://www.bildindex.de/bilder/d/fm3000046;http://www.bildindex.de/document/obj20161823
4405;2002;http://www.bildindex.de/bilder/d/fm3000047;http://www.bildindex.de/document/obj20161823
4472;;http://www.bildindex.de/bilder/d/fm305512;http://www.bildindex.de/document/obj20649973
4485;;http://www.bildindex.de/bilder/d/fm305723;http://www.bildindex.de/document/obj20648829
4536;1917/1960;http://www.bildindex.de/bilder/d/fm308202;http://www.bildindex.de/document/obj20269564
